time,temperature_2m
2023-05-11T00:00,25.7
2023-05-11T01:00,25.3
2023-05-11T02:00,25.1
2023-05-11T03:00,24.9
2023-05-11T04:00,24.9
2023-05-11T05:00,24.9
2023-05-11T06:00,24.9
2023-05-11T07:00,25.4
2023-05-11T08:00,26.2
2023-05-11T09:00,26.9
2023-05-11T10:00,27.4
2023-05-11T11:00,28.0
2023-05-11T12:00,28.3
2023-05-11T13:00,28.4
2023-05-11T14:00,28.3
2023-05-11T15:00,28.0
2023-05-11T16:00,27.6
2023-05-11T17:00,27.1
2023-05-11T18:00,26.4
2023-05-11T19:00,24.8
2023-05-11T20:00,23.8
2023-05-11T21:00,23.5
2023-05-11T22:00,23.0
2023-05-11T23:00,22.5
2023-05-12T00:00,22.3
2023-05-12T01:00,22.2
2023-05-12T02:00,21.9
2023-05-12T03:00,21.5
2023-05-12T04:00,21.2
2023-05-12T05:00,21.0
2023-05-12T06:00,20.9
2023-05-12T07:00,20.9
2023-05-12T08:00,21.3
2023-05-12T09:00,21.5
2023-05-12T10:00,21.8
2023-05-12T11:00,21.7
2023-05-12T12:00,21.9
2023-05-12T13:00,22.1
2023-05-12T14:00,22.2
2023-05-12T15:00,22.1
2023-05-12T16:00,22.2
2023-05-12T17:00,21.9
2023-05-12T18:00,21.9
2023-05-12T19:00,21.9
2023-05-12T20:00,21.9
2023-05-12T21:00,21.9
2023-05-12T22:00,21.8
2023-05-12T23:00,21.8
2023-05-13T00:00,21.8
2023-05-13T01:00,21.8
2023-05-13T02:00,21.7
2023-05-13T03:00,21.7
2023-05-13T04:00,21.5
2023-05-13T05:00,21.4
2023-05-13T06:00,21.3
2023-05-13T07:00,21.1
2023-05-13T08:00,21.2
2023-05-13T09:00,21.7
2023-05-13T10:00,22.3
2023-05-13T11:00,22.6
2023-05-13T12:00,23.0
2023-05-13T13:00,23.1
2023-05-13T14:00,23.3
2023-05-13T15:00,23.1
2023-05-13T16:00,23.1
2023-05-13T17:00,23.0
2023-05-13T18:00,22.8
2023-05-13T19:00,22.6
2023-05-13T20:00,22.5
2023-05-13T21:00,22.5
2023-05-13T22:00,22.4
2023-05-13T23:00,22.1
2023-05-14T00:00,22.0
2023-05-14T01:00,22.0
2023-05-14T02:00,21.9
2023-05-14T03:00,21.9
2023-05-14T04:00,21.8
2023-05-14T05:00,21.9
2023-05-14T06:00,21.8
2023-05-14T07:00,21.6
2023-05-14T08:00,21.6
2023-05-14T09:00,22.5
2023-05-14T10:00,23.2
2023-05-14T11:00,23.7
2023-05-14T12:00,24.3
2023-05-14T13:00,25.5
2023-05-14T14:00,26.0
2023-05-14T15:00,26.4
2023-05-14T16:00,26.6
2023-05-14T17:00,26.2
2023-05-14T18:00,25.4
2023-05-14T19:00,24.6
2023-05-14T20:00,24.3
2023-05-14T21:00,24.1
2023-05-14T22:00,23.9
2023-05-14T23:00,23.7
2023-05-15T00:00,23.5
2023-05-15T01:00,23.2
2023-05-15T02:00,23.0
2023-05-15T03:00,22.7
2023-05-15T04:00,22.5
2023-05-15T05:00,22.6
2023-05-15T06:00,22.8
2023-05-15T07:00,23.5
2023-05-15T08:00,24.5
2023-05-15T09:00,25.9
2023-05-15T10:00,27.4
2023-05-15T11:00,27.9
2023-05-15T12:00,28.2
2023-05-15T13:00,28.4
2023-05-15T14:00,28.6
2023-05-15T15:00,28.7
2023-05-15T16:00,28.6
2023-05-15T17:00,28.1
2023-05-15T18:00,27.3
2023-05-15T19:00,26.3
2023-05-15T20:00,25.8
2023-05-15T21:00,25.4
2023-05-15T22:00,25.0
2023-05-15T23:00,24.9
2023-05-16T00:00,24.9
2023-05-16T01:00,24.9
2023-05-16T02:00,25.0
2023-05-16T03:00,25.0
2023-05-16T04:00,25.3
2023-05-16T05:00,25.5
2023-05-16T06:00,25.8
2023-05-16T07:00,26.6
2023-05-16T08:00,27.6
2023-05-16T09:00,28.9
2023-05-16T10:00,30.6
2023-05-16T11:00,31.8
2023-05-16T12:00,33.0
2023-05-16T13:00,34.1
2023-05-16T14:00,34.4
2023-05-16T15:00,34.4
2023-05-16T16:00,33.8
2023-05-16T17:00,32.8
2023-05-16T18:00,31.4
2023-05-16T19:00,29.8
2023-05-16T20:00,29.1
2023-05-16T21:00,28.6
2023-05-16T22:00,28.0
2023-05-16T23:00,27.7
2023-05-17T00:00,27.5
2023-05-17T01:00,27.3
2023-05-17T02:00,27.1
2023-05-17T03:00,27.1
2023-05-17T04:00,27.2
2023-05-17T05:00,27.5
2023-05-17T06:00,28.0
2023-05-17T07:00,29.1
2023-05-17T08:00,30.6
2023-05-17T09:00,32.5
2023-05-17T10:00,34.7
2023-05-17T11:00,35.9
2023-05-17T12:00,36.9
2023-05-17T13:00,37.8
2023-05-17T14:00,38.5
2023-05-17T15:00,38.9
2023-05-17T16:00,38.6
2023-05-17T17:00,36.9
2023-05-17T18:00,34.4
2023-05-17T19:00,31.6
2023-05-17T20:00,30.4
2023-05-17T21:00,29.6
2023-05-17T22:00,29.0
2023-05-17T23:00,28.7
